post_id	date	message	num_likes	num_angry	num_shares
96033897836_270178200498898	2018-10-05T02:41:01+0000	"Um pa\u00eds com 143 empresas estatais, e o PT ainda foi capaz de criar estatal para trem-bala que at\u00e9 agora n\u00e3o existe. Geraldo Alckmin vai enxugar a m\u00e1quina do Estado, trazer investimentos e fazer privatiza\u00e7\u00f5es, trabalhando muito para que tenhamos emprego na veia! #DebateNaGlobo #Geraldo45 #Vote45"	591	14	172
96033897836_10158488034022837	2018-10-05T02:25:37+0000	"Um governo precisa ser respons\u00e1vel com o dinheiro p\u00fablico. Uma das reformas que Geraldo Alckmin pretende fazer j\u00e1 nos primeiros dias de governo \u00e9 a do Estado: a m\u00e1quina p\u00fablica n\u00e3o cabe no PIB, e tampouco sustentar as 43 empresas estatais criadas pelo PT de Dilma e Haddad. #DebateNaGlobo #Geraldo45 #Vote45"	1511	9	386
96033897836_340727059823096	2018-10-05T02:17:43+0000	"Enquanto o Brasil passou pela mais grave crise econ\u00f4mica das \u00faltimas d\u00e9cadas, Alckmin manteve as contas de S\u00e3o Paulo em dia e ainda reduziu impostos de rem\u00e9dios e do etanol, al\u00e9m de zerar o ICMS de alimentos b\u00e1sicos como p\u00e3o e macarr\u00e3o! #DebateNaGlobo #Geraldo45 #Vote45"	906	6	350
96033897836_10158487986612837	2018-10-05T02:08:21+0000	"17 mil sindicatos. DEZESSETE MIL. Geraldo Alckmin, com a experi\u00eancia de quem governou S\u00e3o Paulo por quatro mandatos, mantendo as contas em dia, defende a reforma trabalhista porque sabe o quanto ela \u00e9 necess\u00e1ria para recolocar o Brasil nos trilhos. #DebateNaGlobo #Geraldo45 #Vote45"	1330	6	343
96033897836_2185666738387824	2018-10-05T01:43:50+0000	"Geraldo Alckmin lembrou bem: o PT escolheu Temer para ser vice n\u00e3o apenas uma, mas duas vezes. E, agora, faz de Haddad o novo poste de Lula ap\u00f3s o desastre que foi o governo Dilma. #DebateNaGlobo #Geraldo45 #Vote45"	920	5	344
96033897836_10158487899467837	2018-10-05T01:31:30+0000	"O Brasil n\u00e3o voltar\u00e1 a crescer com a irresponsabilidade do PT. Quem escolheu o Temer foi o PT. Quem quebrou o Brasil foi o PT. Eles ganharam elei\u00e7\u00e3o dando golpe no eleitor. #DebateNaGlobo #Geraldo45 #Vote45"	1219	6	303
96033897836_10158487202447837	2018-10-04T22:00:00+0000	"Seu voto pode mudar a hist\u00f3ria do Brasil e a sua hist\u00f3ria. Com Geraldo Alckmin voc\u00ea pode escolher um futuro sem \u00f3dio, sem intoler\u00e2ncia e sem incompet\u00eancia. \n\nD\u00e1 tempo de virar esse jogo e garantir um caminho seguro, com um candidato realmente pronto. Assista, vote #Geraldo45 e confirme: #BrasilSIM! \ud83d\udc9a\ud83d\udc9b  #EquipeGA"	830	36	388
96033897836_10158486950172837	2018-10-04T20:05:56+0000	"Muita gente n\u00e3o quer mais o PT. Outros n\u00e3o gostam do Bolsonaro. Sabe o que esses dois grupos t\u00eam em comum? Ambos est\u00e3o certos: Bolsonaro e Haddad s\u00e3o uma amea\u00e7a ao nosso futuro. \n\nChega de \u00f3dio, brigas e tanta corrup\u00e7\u00e3o. Com #Geraldo45, a gente tem um Brasil mais justo, com emprego e oportunidades para todos n\u00f3s. Assista e compartilhe.\n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	936	9	392
96033897836_10158484537232837	2018-10-04T18:00:00+0000	"Sa\u00fade tem que ter. Para todo mundo e em todo lugar. Geraldo Alckmin sempre investiu muito em sa\u00fade, afinal ele \u00e9 m\u00e9dico e entende do assunto. Quando foi governador, construiu 24 novos hospitais em S\u00e3o Paulo. E tem mais 4 em obras. Reformou e ampliou outros 54 e entregou 23 novos AMESs, os Ambulat\u00f3rios M\u00e9dicos de Especialidades. \n\nQuer um presidente que invista em sa\u00fade? Compartilhe no Facebook, divulgue no Zap e vote #Geraldo45! Com #GeraldoPresidente, a sa\u00fade do Brasil vai estar em \u00f3timas m\u00e3os. \ud83d\ude09 #EquipeGA #BrasilSIM"	1095	8	449
96033897836_10158484598187837	2018-10-04T15:00:00+0000	"Pol\u00edtica \u00e9 para quem gosta de gente. \u00c9 preciso enxergar o sofrimento do pr\u00f3ximo, a dor do desempregado, os problemas de quem sofre. \u00c9 para estas pessoas que eu quero ser presidente! Um pa\u00eds dividido n\u00e3o multiplica riqueza, empregos, sa\u00fade e educa\u00e7\u00e3o. Participe do movimento #BrasilSIM com #Geraldo45 e mude pra melhor o destino do nosso pa\u00eds! \ud83d\udc9a\ud83d\udc9b \n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	1111	11	398
96033897836_10158486049607837	2018-10-04T14:09:48+0000	"O \u00fanico candidato preparado para unir o Brasil est\u00e1 AO VIVO na R\u00e1dio Tupi. Assista Geraldo Alckmin e participe com a gente!  \n\n#Geraldo45 #TupiAoVivo #EquipeGA"	480	4	71
96033897836_10158484563372837	2018-10-04T12:00:01+0000	"Hoje, \u00e0s 22h, na Rede Globo, voc\u00ea ter\u00e1 mais uma chance de ouvir ideias e propostas de quem est\u00e1 pronto para unir o Brasil. Chega de ver nosso pa\u00eds dividido! \n\nSe voc\u00ea, assim como n\u00f3s, quer dar um basta nos radicalismos, participe usando as hashtags #DebateNaGlobo e #Geraldo45 aqui e no Twitter. E vote 4\u20e35\u20e3 no pr\u00f3ximo dia 7! \ud83d\udc9a\ud83d\udc9b\n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	2539	20	765
96033897836_248808405836093	2018-10-04T02:53:22+0000	"No dia 7 de outubro, v\u00e1 de #Geraldo45! #BrasilSIM\n\nConhe\u00e7a sua hist\u00f3ria: https://geraldoalckmin.com.br/\nConhe\u00e7a seu plano de governo: http://alckm.in/propostas\nDenuncie fake news: http://alckm.in/denuncie\nVem com a gente! http://alckm.in/apoio"	305	16	170
96033897836_10158484075532837	2018-10-04T00:00:01+0000	"Governar \u00e9 cuidar das pessoas. \u00c9 o que Geraldo sempre diz. E o que sempre faz. Quando foi governador, reduziu o imposto de uma s\u00e9rie de medicamentos gen\u00e9ricos, deixando os rem\u00e9dios mais baratos e acess\u00edveis. \n\nSa\u00fade n\u00e3o pode faltar para ningu\u00e9m. E um presidente que pensa assim, n\u00e3o pode faltar no Brasil. Compartilhe no Facebook, divulgue no WhatsApp da fam\u00edlia e vote #Geraldo45! \ud83d\ude09  \n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice #BrasilSIM"	849	9	353
96033897836_241197426547569	2018-10-03T23:48:43+0000	"No dia 7 de outubro, v\u00e1 de #Geraldo45! #BrasilSIM\n\nConhe\u00e7a sua hist\u00f3ria: https://geraldoalckmin.com.br/\nConhe\u00e7a seu plano de governo: http://alckm.in/propostas\nDenuncie fake news: http://alckm.in/denuncie\nVem com a gente! http://alckm.in/apoio"	225	9	92
