post_id	date	num_likes	num_angry	num_shares
96033897836_10158445184112837	2018-09-22T11:00:02+0000	135	12	15
96033897836_10158445115297837	2018-09-22T11:00:02+0000	143	19	11
96033897836_10158445161447837	2018-09-22T11:00:02+0000	148	24	13
96033897836_10158445217722837	2018-09-22T11:00:02+0000	143	16	13
96033897836_10158445150847837	2018-09-22T11:00:02+0000	128	17	11
96033897836_10158445097507837	2018-09-22T11:00:02+0000	151	22	13
96033897836_10158445152822837	2018-09-22T11:00:02+0000	143	22	8
96033897836_10158445273757837	2018-09-22T11:00:02+0000	162	21	13
96033897836_10158445188607837	2018-09-22T11:00:01+0000	69	4	5
96033897836_10158445198137837	2018-09-22T11:00:01+0000	62	1	6
96033897836_10158445147567837	2018-09-22T11:00:01+0000	76	1	8
96033897836_10158445101372837	2018-09-22T11:00:01+0000	58	0	4
96033897836_10158445132137837	2018-09-22T11:00:01+0000	60	1	6
96033897836_10158445134657837	2018-09-22T11:00:01+0000	71	3	4
96033897836_10158445222627837	2018-09-22T11:00:01+0000	67	0	5
96033897836_10158445119077837	2018-09-22T11:00:01+0000	71	2	4
96033897836_10158445202272837	2018-09-22T11:00:01+0000	92	0	12
96033897836_10158445252047837	2018-09-22T11:00:01+0000	71	3	4
96033897836_10158445216092837	2018-09-22T11:00:01+0000	68	3	5
96033897836_10158445173647837	2018-09-22T11:00:01+0000	72	1	7
96033897836_10158445108127837	2018-09-22T11:00:01+0000	74	0	6
96033897836_10158445249777837	2018-09-22T11:00:01+0000	99	4	15
96033897836_10158445185612837	2018-09-22T11:00:01+0000	76	4	5
96033897836_10158445168677837	2018-09-22T11:00:01+0000	71	4	5
96033897836_10158445171102837	2018-09-22T11:00:01+0000	81	3	8
96033897836_10158445191822837	2018-09-22T11:00:01+0000	81	3	6
96033897836_10158445186672837	2018-09-22T11:00:01+0000	78	3	6
96033897836_10158445255092837	2018-09-22T11:00:01+0000	91	4	6
96033897836_10158445116992837	2018-09-22T11:00:01+0000	72	4	5
96033897836_10158445261882837	2018-09-22T11:00:01+0000	68	3	7
96033897836_10158445114032837	2018-09-22T11:00:01+0000	63	1	5
96033897836_10158445163847837	2018-09-22T11:00:00+0000	69	0	5
96033897836_10158445180922837	2018-09-22T11:00:00+0000	51	0	2
96033897836_10158445112702837	2018-09-22T11:00:00+0000	49	0	2
96033897836_10158445121867837	2018-09-22T11:00:00+0000	48	1	4
96033897836_10158445092227837	2018-09-22T04:54:02+0000	71	0	7
96033897836_10158445087092837	2018-09-22T04:49:35+0000	64	0	3
96033897836_10158445082092837	2018-09-22T04:44:16+0000	65	1	2
96033897836_10158445080237837	2018-09-22T04:42:19+0000	65	1	2
96033897836_10158445076752837	2018-09-22T04:40:38+0000	61	0	3
96033897836_10158445072402837	2018-09-22T04:39:01+0000	55	0	4
96033897836_10158445048827837	2018-09-22T04:26:17+0000	64	0	3
96033897836_10158444917862837	2018-09-22T03:07:00+0000	86	2	14
96033897836_10158444884562837	2018-09-22T02:54:13+0000	73	1	7
96033897836_10158444845347837	2018-09-22T02:42:19+0000	73	2	9
96033897836_10158444837452837	2018-09-22T02:38:55+0000	80	5	13
96033897836_10158444815827837	2018-09-22T02:31:08+0000	83	1	12
96033897836_10158444802942837	2018-09-22T02:29:14+0000	72	5	10
96033897836_10158444792472837	2018-09-22T02:25:43+0000	64	1	11
96033897836_10158444787522837	2018-09-22T02:24:08+0000	63	0	12
96033897836_10158444781692837	2018-09-22T02:21:49+0000	69	1	12
96033897836_10158444779047837	2018-09-22T02:20:15+0000	57	1	11
96033897836_324133775014057	2018-09-21T23:05:00+0000	937	10	569
96033897836_229324474605266	2018-09-21T22:22:29+0000	2269	14	907
96033897836_268564573769131	2018-09-21T19:16:12+0000	2286	142	1959
96033897836_10158443023047837	2018-09-21T16:40:59+0000	728	27	355
96033897836_342241239848496	2018-09-21T12:30:00+0000	19670	2322	9854
96033897836_10158441360367837	2018-09-21T03:29:51+0000	1266	20	573
96033897836_10158441210847837	2018-09-21T02:32:34+0000	1298	22	689
96033897836_10158441122267837	2018-09-21T02:04:47+0000	1155	29	560
96033897836_10158441036207837	2018-09-21T01:38:35+0000	37273	851	15962
96033897836_10158440996787837	2018-09-21T01:26:44+0000	1701	9	679
96033897836_10158440926782837	2018-09-21T01:04:16+0000	3334	23	1418
96033897836_244029279595117	2018-09-20T23:05:49+0000	2160	626	766
96033897836_10158439998717837	2018-09-20T20:58:21+0000	823	91	237
96033897836_10158439665457837	2018-09-20T18:35:14+0000	1490	35	310
96033897836_1844204525617017	2018-09-20T17:12:02+0000	1745	109	683
96033897836_10158439280187837	2018-09-20T15:51:01+0000	2365	24	1254
96033897836_539849139771413	2018-09-20T12:19:07+0000	2890	236	1639
96033897836_313972669335609	2018-09-20T01:26:27+0000	2565	80	1359
96033897836_482773205559400	2018-09-20T01:01:38+0000	1426	15	351
96033897836_10158437170892837	2018-09-19T23:18:19+0000	24420	4865	5736
96033897836_2131798937136428	2018-09-19T22:03:41+0000	11420	2267	3123
96033897836_10158435917637837	2018-09-19T17:00:02+0000	6820	816	3262
96033897836_10158435631977837	2018-09-19T14:53:23+0000	4011	1072	2051
96033897836_10158434150352837	2018-09-18T23:31:01+0000	1913	137	1171
96033897836_10158433998037837	2018-09-18T22:39:26+0000	2540	27	825
96033897836_10158433565372837	2018-09-18T19:21:25+0000	1268	17	672
96033897836_10158432873282837	2018-09-18T15:09:58+0000	2797	44	705
96033897836_10158431345547837	2018-09-18T13:00:01+0000	1113	10	463
96033897836_10158431194642837	2018-09-18T00:12:06+0000	3722	43	1189
96033897836_297309777666753	2018-09-17T22:23:11+0000	1434	17	526
96033897836_10158430932497837	2018-09-17T21:57:19+0000	1444	30	403
96033897836_10158430272547837	2018-09-17T17:36:08+0000	2930	32	1557
96033897836_10158429618877837	2018-09-17T13:13:09+0000	1195	13	551
96033897836_10158424447197837	2018-09-17T00:10:00+0000	1853	39	735
96033897836_10158424416062837	2018-09-16T22:00:01+0000	963	63	204
96033897836_10158424319542837	2018-09-16T18:00:00+0000	2739	1672	1818
96033897836_10158426677647837	2018-09-16T14:39:25+0000	727	7	112
96033897836_1648579285245956	2018-09-16T13:55:37+0000	2906	56	947
96033897836_10158424360562837	2018-09-16T13:10:00+0000	2324	74	1411
96033897836_10158424534912837	2018-09-15T23:37:12+0000	1705	205	956
96033897836_10158424168787837	2018-09-15T21:00:00+0000	1087	28	528
96033897836_10158423790477837	2018-09-15T19:20:00+0000	8143	3483	5861
96033897836_10158423728392837	2018-09-15T17:50:10+0000	2075	35	922
96033897836_480635145743859	2018-09-15T14:29:22+0000	2874	38	823
