post_id	date	message	num_likes	num_angry	num_shares
126351747376464_2236859749658976	2018-11-15T18:21:01+0000	"hoje comemoramos 129 anos da proclamacao da republica, uma data pra reafirmarmos o compromisso com o ideario e valores republicanos do estado laico, da separacao equilibrada de poderes, do respeito as leis e a constituicao, do funcionamento correto das instituicoes, do sistema politico democratico e da atuacao livre da sociedade civil. mas ainda temos um longo caminho pela frente para chegar la, para superar o descompromisso e o desinteresse na existencia de uma cultura republicana solida, verdadeira, capaz de defender o que pertence a todos nos e de repudiar as insistentes e recorrentes tentativas de falsificar a republica.  costumo repetir que, na verdadeira republica, os governantes tem muito pouco poder, e que o poder nao deve ser usado para favorecer os amigos, nem prejudicar os inimigos. e no entanto vivemos as consequencias e traumas do uso e abuso anti-republicano do poder para, de forma ilegitima e ilicita, favorecer os amigos. e agora corremos o risco igualmente deleterio de uso do poder para, tambem de forma ilegitima e antidemocratica, perseguir adversarios. por isso e tao importante que a republica deixe de ser meramente nominal para ser efetivamente respeitada e vivida no dia-a-dia da sociedade e das instituicoes."	1014	1	206
126351747376464_2232744140070537	2018-11-13T19:43:01+0000	"nosso futuro depende, em grande parte, do surgimento de uma nova geracao de administradores capazes de alinhar o brasil com as demandas do seculo 21. esse e um tema importante em meu trabalho e em minha trajetoria politica, por isso, me senti honrada com o convite para ser patronesse da 5a turma do curso de administracao publica, na escola de administracao de empresas de sao paulo.  ontem tive a alegria de participar da cerimonia de formatura, na qual os professores, familiares, funcionarios e amigos dos formandos celebravam num ambiente em que se mesclava o contentamento pela vitoria e a gratidao pela caminhada. em minha fala, procurei compartilhar algumas percepcao que adquiri ao longo de mais de trinta anos de vida publica como parlamentar e gestora, na esperanca de que minha experiencia possa ajudar a vislumbrar o futuro.  esse olhar para alem do imediato e algo que considero essencial: ter uma visao prospectiva da gestao publica, evitar a estagnacao e a repeticao de formulas superadas. e preciso ter um atencao para as novas realidades que estao surgindo, num mundo mudado de todas as formas, desde os eventos extremos climaticos e os graves problemas sociais e economicos, ate grande salto no desenvolvimento das mais diversas tecnologias.   o professor henry mitnzeberg, que e um renovador na ciencia da gestao, chama nossa atencao para a necessidade de ver alem da conhecida divisao entre \"setor publico\" e \"setor privado\". entre outras coisas, ele advoga a criacao de um espaco para o que denomina de \"setor plural\", no qual a sociedade possa se expressao diretamente, com suas multiplas competencias e exigencias.  de fato, precisamos ampliar nossa visao para vivermos este seculo de grandes mudancas. agora, mais que administrar recursos, torna-se fundamental administrar capacidades para os que desejam permanecer no municipio, no estado, no pais.   desejo grandes realizacoes para este nova geracao que inicia sua caminhada no mundo do trabalho e da administracao dos assuntos publicos. que abra novas portas e deixe entrar mais luz e ar nas empresas e instituicoes do brasil."	672	2	87
126351747376464_2227001077311510	2018-11-08T22:01:00+0000	"ontem perdemos uma mulher muito importante para a luta socioambiental no brasil, raimunda gomes da silva, fundadora da movimento interestadual das quebradeiras de coco babacu. seu trabalho de organizar as quebradeiras e reivindicar a conservacao de babucuais e o acesso das mulheres aos cocos se confunde com a luta pela protecao ambiental e seu uso sustentavel.   dona raimundinha, como era conhecida, teve sua atuacao reconhecida por varias instituicoes academicas, recebeu premio bertha lutz  do senado e esteve apresentando sua historia em eventos na europa. que seu legado possa ser honrado por todos que compreendem a importancia da protecao ambiental para as populacoes tradicionais e para a sociedade em geral.  que deus console sua familia, amigos e companheiras de caminhada e que sua memoria e exemplo frutifiquem, como os generosos babacus, alimentando o vigor de todos que buscam vida digna neste pais."	1163	0	133
126351747376464_2226860460658905	2018-11-08T19:36:01+0000	"\"muita gente me aconselhou a nao ser candidata porque era bom que eu preservasse o tal \"capital politico\". eu preferi correr o risco de sair e pagar o preco por isso a ter me omitido. se ja e feio especular com dinheiro, imagine especular com credibilidade politica.\"  confira a entrevista da marina para a folha de s.paulo"	3639	12	352
126351747376464_2224203510924600	2018-11-06T23:57:08+0000	"nesses 30 anos da promulgacao da constituicao, avancamos em areas estrategicas para a nossa sociedade, como a implementacao do sistema unico de saude, o direito da crianca e do adolescente e a tutela do meio ambiente. agora, temos o compromisso de resguarda-la, para que possamos continuar exercendo nossa plena cidadania, promovendo cada vez mais a justica e paz social."	1354	1	94
126351747376464_2224066657604952	2018-11-06T21:31:03+0000	"o conjunto de medidas apresentadas pela transparencia internacional, com a finalidade de prevenir, combater e punir a corrupcao, fruto de um trabalho consistente de mais de trezentas entidades e cerca de duzentos especialistas, mencionadas pelo juiz sergio moro durante a coletiva que deu em curitiba, e sem duvida uma boa base para que o combate a corrupcao continue sendo feito de forma impessoal e continua.  o futuro ministro tera que tratar de temas altamente polemicos que exigirao muito discernimento e capacidade de negociacao. temas como reducao da maioridade penal, flexibilizacao do estatuto do desarmamento, qualificacao de atos terroristas, politica indigena, preservacao das garantias individuais e direito a investigacao de homicidios ocorridos em confrontos policiais deverao ser grandes focos de atencao em sua gestao. e, sem duvida, uma agenda muito sensivel e desafiadora sobre a qual a sociedade espera uma atuacao equilibrada e que coloque alguns freios em ameacas ja anunciadas contra varias areas, principalmente em relacao a questao indigena."	4357	8	583
126351747376464_2222588624419422	2018-11-05T22:36:28+0000	"hoje se completam tres anos de um dos maiores crimes ambientais ja ocorridos no brasil, que foi o rompimento da barragem da mineradora samarco em mariana, minas gerais. os investimentos que a empresa deveria ter feito em seguranca e os cuidados que a administracao publica deveria ter dedicado ao monitoramento do cumprimento das exigencias do licenciamento ambiental teriam evitado as perdas que contabilizamos hoje. um rio foi profundamente ferido, uma bacia hidrografica foi muito afetada, familias perderam entes queridos, uma cidade e uma vila perderam sua historia, seu cotidiano, suas relacoes de vizinhanca. minas gerais e espirito santo perderam riquezas naturais, o mar foi afetado com minerio, produtos quimicos e a vida de animais e plantas, em terra e na agua, foi duramente atingida.   e preciso que haja firmeza das autoridades, e preciso que haja toda a reparacao possivel, quer na forma de compensacao de danos, quer na forma de punicao aos responsaveis pelo desleixo. estou retomando junto ao meu partido a proposta que venho fazendo para que, nesta semana que marca esses tres anos da tragedia, registremos um projeto de lei para que esse tipo de crime seja considerado hediondo a fim de que o rigor possa chegar a todos os que economizem em seguranca e cuidados com o meio ambiente e causem todas essas dores e perdas aos atingidos e ao proprio pais."	1978	110	869
126351747376464_2219478258063792	2018-11-03T22:40:12+0000	"sei nao ser a firme voz que clama em meio ao deserto, mas me disponho estar perto para expandir o seu eco.   sei nem sempre ter forca, para amar meus inimigos, mas comprometo nao vingar-me, nao lhes impingir castigo.   sei nao possuir coragem de morrer por meus amigos, mas me disponho guarda-los no mais recondito abrigo.   sei nem sempre ser aceito o fruto de minha acao, mas me submeto expo-lo ao crivo doutra razao.   voz, coragem, forca e aceitacao, tem fonte no mesmo espirito, origem no mesmo verbo, lugar onde me inspiro e a semelhanca preservo, na comunhao com meu proximo. no logos que em mim carrego.  marina silva"	4488	6	838
126351747376464_2217960048215613	2018-11-02T22:39:06+0000	"a amazonia com certeza corre risco e mesmo os que votaram no bolsonaro nao querem que o brasil destrua suas florestas."	5302	76	1261
126351747376464_2212335102111441	2018-10-30T20:14:38+0000	"a decisao de fundir o ministerio do meio ambiente ao da agricultura sera um triplo desastre:   1) trara prejuizo a governanca ambiental e a protecao do meio ambiente;  2) passara aos consumidores no exterior a ideia de que todo o agronegocio brasileiro, em que pese ter aumentado sua producao por ganho de produtividade, sobrevive gracas a destruicao das florestas, sobretudo na amazonia, atraindo a sanha das barreiras nao tarifarias em prejuizo de todos;  3) empurrara o movimento ambientalista, a ter que voltar aos velhos tempos da pressao de fora para dentro, algo que ha decadas vinha sendo superado, gracas aos sucessivos avancos que se foram galgando em diferentes governos, uns mais outros menos.   estamos inaugurando o tempo tragico da protecao ambiental igual a nada. nem bem comecou o governo bolsonaro e o retrocesso anunciado e incalculavel."	17085	3496	24822
